home_team,away_team,home_score,away_score,Hasil,HTRF,THFP,PHPAR,PHSPAR,PHPSAR,PHDAR,PHTSA,PHDBAR,PHAAR,ATRF,TAFP,PAPAR,PASPAR,PAPSAR,PADAR,PATSA,PADBAR,PAAAR
Uruguay,Ecuador,1,1,Draw,6,12,72,66,80,65,77,74,28,22,3,73,67,78,57,82,74,26
Brazil,Argentina,2,1,Home_win,11,20,76,70,80,65,79,79,28,3,16,76,66,81,65,76,74,29
Argentina,Uruguay,3,0,Home_win,3,16,76,66,81,65,76,74,29,6,12,72,66,80,65,77,74,28
France,Japan,0,1,Away_win,21,14,76,69,80,68,81,76,26,44,5,72,66,74,63,73,72,27
Greece,Bosnia-Herzegovina,0,0,Draw,18,3,73,66,79,62,76,74,28,16,1,73,66,79,61,77,75,27
Russia,Portugal,1,0,Home_win,19,10,71,64,76,62,77,75,27,14,6,75,70,80,63,78,78,28
Chile,Argentina,1,2,Away_win,12,9,73,68,76,64,77,75,28,3,16,76,66,81,65,76,74,29
Colombia,Cameroon,3,0,Home_win,4,5,73,67,80,63,79,75,27,59,7,69,64,81,63,81,74,26
Iran,Korea Republic,1,0,Home_win,49,4,67,60,75,58,72,67,28,56,9,72,67,78,62,77,73,26
Japan,Brazil,0,4,Away_win,44,5,72,66,74,63,73,72,27,11,20,76,70,80,65,79,79,28
Spain,France,1,1,Draw,1,14,81,71,79,67,78,82,28,21,14,76,69,80,68,81,76,26
Algeria,Bosnia-Herzegovina,0,1,Away_win,,,,,,,,,,16,1,73,66,79,61,77,75,27
Brazil,Colombia,1,1,Draw,11,20,76,70,80,65,79,79,28,4,5,73,67,80,63,79,75,27
Italy,France,1,2,Away_win,9,18,76,68,81,66,77,75,27,21,14,76,69,80,68,81,76,26
Korea Republic,Australia,1,2,Away_win,56,9,72,67,78,62,77,73,26,57,4,71,64,78,62,76,71,26
Netherlands,Germany,0,0,Draw,8,10,74,68,80,63,78,75,26,2,18,76,69,81,67,77,76,26
Russia,USA,2,2,Draw,19,10,71,64,76,62,77,75,27,31,10,70,66,80,62,77,72,27
Argentina,Brazil,2,1,Home_win,3,16,76,66,81,65,76,74,29,11,20,76,70,80,65,79,79,28
Costa Rica,Honduras,1,0,Home_win,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
Algeria,Ivory Coast,2,2,Draw,,,,,,,,,,17,3,72,65,80,62,80,73,27
Ivory Coast,Nigeria,1,2,Away_win,17,3,72,65,80,62,80,73,27,33,5,70,64,80,61,81,74,25
England,Brazil,2,1,Home_win,10,14,75,68,81,64,79,76,26,11,20,76,70,80,65,79,79,28
France,Germany,1,2,Away_win,21,14,76,69,80,68,81,76,26,2,18,76,69,81,67,77,76,26
Greece,Switzerland,0,0,Draw,18,3,73,66,79,62,76,74,28,7,10,72,66,80,65,78,74,26
Honduras,USA,2,1,Home_win,34,3,70,62,78,60,77,72,28,31,10,70,66,80,62,77,72,27
Netherlands,Italy,1,1,Draw,8,10,74,68,80,63,78,75,26,,,,,,,,,
Portugal,Ecuador,2,3,Away_win,14,6,75,70,80,63,78,78,28,22,3,73,67,78,57,82,74,26
Spain,Uruguay,3,1,Home_win,1,14,81,71,79,67,78,82,28,6,12,72,66,80,65,77,74,28
Italy,Brazil,2,2,Draw,9,18,76,68,81,66,77,75,27,11,20,76,70,80,65,79,79,28
Bosnia-Herzegovina,Greece,3,1,Home_win,16,1,73,66,79,61,77,75,27,18,3,73,66,79,62,76,74,28
Honduras,Mexico,2,2,Draw,34,3,70,62,78,60,77,72,28,24,15,71,64,75,62,76,72,27
USA,Costa Rica,1,0,Home_win,31,10,70,66,80,62,77,72,27,13,4,66,60,76,57,74,67,27
Russia,Brazil,1,1,Draw,19,10,71,64,76,62,77,75,27,11,20,76,70,80,65,79,79,28
Chile,Uruguay,2,0,Home_win,12,9,73,68,76,64,77,75,28,6,12,72,66,80,65,77,74,28
France,Spain,0,1,Away_win,21,14,76,69,80,68,81,76,26,1,14,81,71,79,67,78,82,28
Mexico,USA,0,0,Draw,24,15,71,64,75,62,76,72,27,31,10,70,66,80,62,77,72,27
Brazil,Chile,2,2,Draw,11,20,76,70,80,65,79,79,28,12,9,73,68,76,64,77,75,28
USA,Belgium,2,4,Away_win,31,10,70,66,80,62,77,72,27,5,12,76,68,82,65,78,77,25
Mexico,Nigeria,2,2,Draw,24,15,71,64,75,62,76,72,27,33,5,70,64,80,61,81,74,25
Brazil,England,2,2,Draw,11,20,76,70,80,65,79,79,28,10,14,75,68,81,64,79,76,26
USA,Germany,4,3,Home_win,31,10,70,66,80,62,77,72,27,2,18,76,69,81,67,77,76,26
Japan,Australia,1,1,Draw,44,5,72,66,74,63,73,72,27,57,4,71,64,78,62,76,71,26
Uruguay,France,1,0,Home_win,6,12,72,66,80,65,77,74,28,21,14,76,69,80,68,81,76,26
Argentina,Colombia,0,0,Draw,3,16,76,66,81,65,76,74,29,4,5,73,67,80,63,79,75,27
Costa Rica,Honduras,1,0,Home_win,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
Portugal,Russia,1,0,Home_win,14,6,75,70,80,63,78,78,28,19,10,71,64,76,62,77,75,27
Brazil,France,3,0,Home_win,11,20,76,70,80,65,79,79,28,21,14,76,69,80,68,81,76,
Mexico,Costa Rica,0,0,Draw,24,15,71,64,75,62,76,72,27,13,4,66,60,76,57,74,67,27
Ghana,Ivory Coast,2,1,Home_win,23,3,71,66,80,63,81,74,25,17,3,72,65,80,62,80,73,27
Ghana,Ivory Coast,1,1,Draw,23,3,71,66,80,63,81,74,25,17,3,72,65,80,62,80,73,27
Brazil,Japan,3,0,Home_win,11,20,76,70,80,65,79,79,28,44,5,72,66,74,63,73,72,27
Mexico,Italy,1,2,Away_win,24,15,71,64,75,62,76,72,27,9,18,76,68,81,66,77,75,27
Spain,Uruguay,2,1,Home_win,1,14,81,71,79,67,78,82,28,6,12,72,66,80,65,77,74,28
Korea Republic,Iran,0,1,Away_win,56,9,72,67,78,62,77,73,26,49,4,67,60,75,58,72,67,28
USA,Honduras,1,0,Home_win,31,10,70,66,80,62,77,72,27,34,3,70,62,78,60,77,72,28
Brazil,Mexico,2,0,Home_win,11,20,76,70,80,65,79,79,28,24,15,71,64,75,62,76,72,27
Italy,Japan,4,3,Home_win,9,18,76,68,81,66,77,75,27,44,5,72,66,74,63,73,72,27
Nigeria,Uruguay,1,2,Away_win,33,5,70,64,80,61,81,74,25,6,12,72,66,80,65,77,74,28
Italy,Brazil,2,4,Away_win,9,18,76,68,81,66,77,75,27,11,20,76,70,80,65,79,79,28
Japan,Mexico,1,2,Away_win,44,5,72,66,74,63,73,72,27,24,15,71,64,75,62,76,72,27
Nigeria,Spain,0,3,Away_win,33,5,70,64,80,61,81,74,25,1,14,81,71,79,67,78,82,28
Brazil,Uruguay,2,1,Home_win,11,20,76,70,80,65,79,79,28,6,12,72,66,80,65,77,74,28
Spain,Italy,0,0,Draw,1,14,81,71,79,67,78,82,28,9,18,76,68,81,66,77,75,27
Brazil,Spain,3,0,Home_win,11,20,76,70,80,65,79,79,28,1,14,81,71,79,67,78,82,28
Uruguay,Italy,2,2,Draw,6,12,72,66,80,65,77,74,28,9,18,76,68,81,66,77,75,27
Nigeria,Ivory Coast,4,1,Home_win,33,5,70,64,80,61,81,74,25,17,3,72,65,80,62,80,73,27
USA,Costa Rica,1,0,Home_win,31,10,70,66,80,62,77,72,27,13,4,66,60,76,57,74,67,27
Korea Republic,Australia,0,0,Draw,56,9,72,67,78,62,77,73,26,57,4,71,64,78,62,76,71,26
Honduras,Costa Rica,1,0,Home_win,34,3,70,62,78,60,77,72,28,13,4,66,60,76,57,74,67,27
USA,Honduras,3,1,Home_win,31,10,70,66,80,62,77,72,27,34,3,70,62,78,60,77,72,28
Japan,Australia,3,2,Home_win,44,5,72,66,74,63,73,72,27,57,4,71,64,78,62,76,71,26
Ivory Coast,Nigeria,2,0,Home_win,17,3,72,65,80,62,80,73,27,33,5,70,64,80,61,81,74,25
Korea Republic,Japan,1,2,Away_win,56,9,72,67,78,62,77,73,26,44,5,72,66,74,63,73,72,27
Belgium,France,0,0,Draw,5,12,76,68,82,65,78,77,25,21,14,76,69,80,68,81,76,26
Bosnia-Herzegovina,USA,3,4,Away_win,16,1,73,66,79,61,77,75,27,31,10,70,66,80,62,77,72,27
Italy,Argentina,1,2,Away_win,9,18,76,68,81,66,77,75,27,3,16,76,66,81,65,76,74,29
Japan,Uruguay,2,4,Away_win,44,5,72,66,74,63,73,72,27,6,12,72,66,80,65,77,74,28
Mexico,Ivory Coast,4,1,Home_win,24,15,71,64,75,62,76,72,27,17,3,72,65,80,62,80,73,27
Portugal,Netherlands,1,1,Draw,14,6,75,70,80,63,78,78,28,8,10,74,68,80,63,78,75,26
Switzerland,Brazil,1,0,Home_win,7,10,72,66,80,65,78,74,26,11,20,76,70,80,65,79,79,28
Colombia,Ecuador,1,0,Home_win,4,5,73,67,80,63,79,75,27,22,3,73,67,78,57,82,74,26
Costa Rica,USA,3,1,Home_win,13,4,66,60,76,57,74,67,27,31,10,70,66,80,62,77,72,27
Mexico,Honduras,1,2,Away_win,24,15,71,64,75,62,76,72,27,34,3,70,62,78,60,77,72,28
Brazil,Australia,6,0,Home_win,11,20,76,70,80,65,79,79,28,57,4,71,64,78,62,76,71,26
Brazil,Portugal,3,1,Home_win,11,20,76,70,80,65,79,79,28,14,6,75,70,80,63,78,78,28
Japan,Ghana,3,1,Home_win,44,5,72,66,74,63,73,72,27,23,3,71,66,80,63,81,74,25
Spain,Chile,2,2,Draw,1,14,81,71,79,67,78,82,28,12,9,73,68,76,64,77,75,28
Uruguay,Colombia,2,0,Home_win,6,12,72,66,80,65,77,74,28,4,5,73,67,80,63,79,,27
USA,Mexico,2,0,Home_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Colombia,Chile,3,3,Draw,4,5,73,67,80,63,79,75,27,12,9,73,68,76,64,77,75,28
France,Australia,6,0,Home_win,21,14,76,69,80,68,81,76,26,57,4,71,64,78,62,76,71,26
Honduras,Costa Rica,1,0,Home_win,34,3,70,62,78,60,77,72,28,13,4,66,60,76,57,74,67,27
Korea Republic,Brazil,0,2,Away_win,56,9,72,67,78,62,77,73,26,11,20,76,70,80,65,79,79,28
Chile,Ecuador,2,1,Home_win,12,9,73,68,76,64,77,75,28,22,3,73,67,78,57,82,74,26
Costa Rica,Mexico,2,1,Home_win,13,4,66,60,76,57,74,67,27,24,15,71,64,75,62,76,72,27
Uruguay,Argentina,3,2,Home_win,6,12,72,66,80,65,77,74,28,3,16,76,66,81,65,76,74,29
Belgium,Colombia,0,2,Away_win,5,12,76,68,82,65,78,77,25,4,5,73,67,80,63,79,75,27
Argentina,Ecuador,0,0,Draw,3,16,76,66,81,65,76,74,29,22,3,73,67,78,57,82,74,26
England,Chile,0,2,Away_win,10,14,75,68,81,64,79,76,26,12,9,73,68,76,64,77,75,28
Italy,Germany,1,1,Draw,9,18,76,68,81,66,77,75,27,2,18,76,69,81,67,77,76,26
Korea Republic,Switzerland,2,1,Home_win,56,9,72,67,78,62,77,73,26,7,10,72,66,80,65,78,74,26
Honduras,Brazil,0,5,Away_win,34,3,70,62,78,60,77,72,28,11,20,76,70,80,65,79,79,28
Netherlands,Japan,2,2,Draw,8,10,74,68,80,63,78,75,26,44,5,72,66,74,63,73,72,27
Argentina,Bosnia-Herzegovina,2,0,Home_win,3,16,76,66,81,65,76,74,29,16,1,73,66,79,61,77,75,27
Italy,Nigeria,2,2,Draw,9,18,76,68,81,66,77,75,27,33,5,70,64,80,61,81,74,25
Australia,Costa Rica,1,0,Home_win,57,4,71,64,78,62,76,71,26,13,4,66,60,76,57,74,67,27
Belgium,Japan,2,3,Away_win,5,12,76,68,82,65,78,77,25,44,5,72,66,74,63,73,72,27
Brazil,Chile,2,1,Home_win,11,20,76,70,80,65,79,79,28,12,9,73,68,76,64,77,75,28
England,Germany,0,1,Away_win,10,14,75,68,81,64,79,76,26,2,18,76,69,81,67,77,76,26
Honduras,Ecuador,2,2,Draw,34,3,70,62,78,60,77,72,28,22,3,73,67,78,57,82,74,26
Netherlands,Colombia,0,0,Draw,8,10,74,68,80,63,78,75,26,4,5,73,67,80,63,79,75,27
Russia,Korea Republic,2,1,Home_win,19,10,71,64,76,62,77,75,27,56,9,72,67,78,62,77,73,26
Chile,Costa Rica,4,0,Home_win,12,9,73,68,76,64,77,75,28,13,4,66,60,76,57,74,67,27
Costa Rica,Korea Republic,0,1,Away_win,13,4,66,60,76,57,74,67,27,56,9,72,67,78,62,77,73,26
Mexico,Korea Republic,4,0,Home_win,24,15,71,64,75,62,76,72,27,56,9,72,67,78,62,77,73,26
Nigeria,Ghana,0,0,Draw,33,5,70,64,80,61,81,74,25,23,3,71,66,80,63,81,74,25
USA,Korea Republic,2,0,Home_win,31,10,70,66,80,62,77,72,27,56,9,72,67,78,62,77,73,26
Australia,Ecuador,3,4,Away_win,57,4,71,64,78,62,76,71,26,22,3,73,67,78,57,82,74,26
Belgium,Ivory Coast,2,2,Draw,5,12,76,68,82,65,78,77,25,17,3,72,65,80,62,80,73,27
France,Netherlands,2,0,Home_win,21,14,76,69,80,68,81,76,26,8,10,74,68,80,63,78,75,26
Germany,Chile,1,0,Home_win,2,18,76,69,81,67,77,76,26,12,9,73,68,76,64,77,75,28
Greece,Korea Republic,0,2,Away_win,18,3,73,66,79,62,76,74,28,56,9,72,67,78,62,77,73,26
Portugal,Cameroon,5,1,Home_win,14,6,75,70,80,63,78,78,28,59,7,69,64,81,63,,74,26
Spain,Italy,1,0,Home_win,1,14,81,71,79,67,78,82,28,9,18,76,68,81,66,77,75,27
Netherlands,Ecuador,1,1,Draw,8,10,74,68,80,63,78,75,26,22,3,73,67,78,57,82,74,26
Bosnia-Herzegovina,Ivory Coast,2,1,Home_win,16,1,73,66,79,61,77,75,27,17,3,72,65,80,62,80,73,27
Mexico,Ecuador,3,1,Home_win,24,15,71,64,75,62,76,72,27,22,4,75,55,77,55,81,72,27
Netherlands,Ghana,1,0,Home_win,8,10,74,68,80,63,78,75,26,23,3,71,66,80,63,81,74,25
Portugal,Greece,0,0,Draw,14,6,75,70,80,63,78,78,28,18,3,73,66,79,62,76,74,28
Germany,Cameroon,2,2,Draw,2,18,76,69,81,67,77,76,26,59,7,69,64,81,63,81,74,26
Costa Rica,Japan,1,3,Away_win,13,4,66,60,76,57,74,67,27,44,5,72,66,74,63,73,72,27
Greece,Nigeria,0,0,Draw,18,3,73,66,79,62,76,74,28,33,5,70,64,80,61,81,74,25
Mexico,Bosnia-Herzegovina,0,1,Away_win,24,15,71,64,75,62,76,72,27,16,1,73,66,79,61,77,75,27
Mexico,Portugal,0,1,Away_win,24,15,71,64,75,62,76,72,27,14,6,75,70,80,63,78,78,28
Honduras,England,0,0,Draw,34,3,70,62,78,60,77,72,28,10,14,75,68,81,64,79,76,26
USA,Nigeria,2,1,Home_win,31,10,70,66,80,62,77,72,27,33,5,70,64,80,61,81,74,25
Ghana,Korea Republic,4,0,Home_win,23,3,71,66,80,63,81,74,25,56,9,72,67,78,62,77,73,26
Chile,Australia,3,1,Home_win,57,4,71,64,78,62,76,71,26,12,9,73,68,76,64,77,75,28
Mexico,Cameroon,1,0,Home_win,24,15,71,64,75,62,76,72,27,59,7,69,64,81,63,81,74,26
Greece,Korea Republic,1,1,Draw,18,3,73,66,79,62,76,74,28,56,9,72,67,78,62,77,73,26
Nigeria,Ghana,1,0,Home_win,33,5,70,64,80,61,81,74,25,23,3,71,66,80,63,81,74,25
Ecuador,Honduras,1,0,Home_win,22,4,75,55,77,55,81,72,27,34,3,70,62,78,60,77,72,28
Cameroon,Ivory Coast,1,1,Draw,59,7,69,64,81,63,81,74,26,17,3,72,65,80,62,80,73,27
Nigeria,Ivory Coast,0,1,Away_win,33,5,70,64,80,61,81,74,25,17,3,72,65,80,62,80,73,27
USA,Japan,3,2,Home_win,31,10,70,66,80,62,77,72,27,44,5,72,66,74,63,73,72,27
Costa Rica,Korea Republic,1,0,Home_win,13,4,66,60,76,57,74,67,27,56,9,72,67,78,62,77,73,26
Mexico,Korea Republic,0,1,Away_win,24,15,71,64,75,62,76,72,27,56,9,72,67,78,62,77,73,26
Bosnia-Herzegovina,Japan,2,2,Draw,16,1,73,66,79,61,77,75,27,44,5,72,66,74,63,73,72,27
England,Uruguay,2,1,Home_win,10,14,75,68,81,64,79,76,26,6,12,72,66,80,65,77,74,28
Iran,Costa Rica,3,2,Home_win,49,4,67,60,75,58,72,67,28,13,4,66,60,76,57,74,67,27
Italy,Germany,4,1,Home_win,9,18,76,68,81,66,77,75,27,2,18,76,69,81,,77,76,26
Mexico,Ghana,1,0,Home_win,24,15,71,64,75,62,76,72,27,23,3,71,66,80,63,81,74,25
Russia,Brazil,0,1,Away_win,19,10,71,64,76,62,77,75,27,11,20,76,70,80,65,79,79,28
Spain,Ivory Coast,3,2,Home_win,1,14,81,71,79,67,78,82,28,17,3,72,65,80,62,80,73,27
Germany,USA,4,1,Home_win,2,18,76,69,81,67,77,76,26,31,10,70,66,80,62,77,72,27
Australia,Greece,1,0,Home_win,57,4,71,64,78,62,76,71,26,18,3,73,66,79,62,76,74,28
Korea Republic,Bosnia-Herzegovina,2,0,Home_win,56,9,72,67,78,62,77,73,26,16,1,73,66,79,61,77,75,27
France,Mexico,1,0,Home_win,21,14,76,69,80,68,81,76,26,24,15,71,64,75,62,76,72,27
Netherlands,Cameroon,1,0,Home_win,8,10,74,68,80,63,78,75,26,59,7,69,64,81,63,81,74,26
Spain,Russia,0,0,Draw,1,14,81,71,79,67,78,82,28,19,10,71,64,76,62,77,75,27
Switzerland,Ivory Coast,1,1,Draw,7,10,72,66,80,65,78,74,26,17,3,72,65,80,62,80,73,27
Chile,Ivory Coast,1,1,Draw,12,9,73,68,76,64,77,75,28,17,3,72,65,80,62,80,73,27
Germany,Japan,2,2,Draw,2,18,76,69,81,67,77,76,26,44,5,72,66,74,63,73,72,27
Iran,Bosnia-Herzegovina,5,2,Home_win,49,4,67,60,75,58,72,67,28,16,1,73,66,79,61,77,75,27
Switzerland,Italy,1,1,Home_win,7,10,72,66,80,65,78,74,26,9,18,76,68,81,66,77,75,27
Netherlands,Mexico,2,1,Home_win,8,10,74,68,80,63,78,75,26,24,15,71,64,75,62,76,72,27
Germany,Colombia,3,0,Home_win,2,18,76,69,81,67,77,76,26,4,5,73,67,80,63,79,75,27
Ghana,Korea Republic,3,1,Home_win,23,3,71,66,80,63,81,74,25,56,9,72,67,78,62,77,73,26
Netherlands,Australia,1,1,Draw,8,10,74,68,80,63,78,75,26,57,4,71,64,78,62,76,71,26
Germany,Costa Rica,4,2,Home_win,2,18,76,69,81,67,77,76,26,13,4,66,60,76,57,74,67,27
Argentina,Ivory Coast,2,1,Home_win,3,16,76,66,81,65,76,74,29,17,3,72,65,80,62,80,73,27
Mexico,Iran,3,1,Home_win,24,15,71,64,75,62,76,72,27,49,4,67,60,75,58,72,67,28
Australia,Japan,3,1,Home_win,57,4,71,64,78,62,76,71,26,44,5,72,66,74,63,73,72,27
Italy,Ghana,2,0,Home_win,9,18,76,68,81,66,77,75,27,23,3,71,66,80,63,81,74,25
France,Switzerland,0,0,Draw,21,14,76,69,80,68,81,76,26,7,10,72,66,80,65,78,74,26
Ecuador,Costa Rica,3,0,Home_win,22,4,75,55,77,55,81,72,27,13,4,66,60,76,57,74,67,27
Netherlands,Ivory Coast,2,1,Home_win,8,10,74,68,80,63,78,75,26,17,3,72,65,80,62,80,73,27
Italy,USA,1,1,Draw,9,18,76,68,81,66,77,75,27,31,10,70,66,80,62,77,72,27
Portugal,Iran,2,0,Home_win,14,6,75,70,80,63,78,78,28,49,4,67,60,75,58,72,67,28
Brazil,Australia,2,0,Home_win,11,20,76,70,80,65,79,79,28,57,4,71,64,,62,76,71,26
France,Korea Republic,1,1,Draw,21,14,76,69,80,68,81,76,26,56,9,72,67,78,62,77,73,26
Ecuador,Germany,0,3,Away_win,22,4,75,55,77,55,81,72,27,2,18,76,69,81,67,77,76,26
Netherlands,Argentina,0,0,Draw,8,10,74,68,80,63,78,75,26,3,16,76,66,81,65,76,74,29
Portugal,Mexico,2,1,Home_win,14,6,75,70,80,63,78,78,28,24,15,71,64,75,62,76,72,27
Ghana,USA,2,1,Home_win,23,3,71,66,80,63,81,74,25,31,10,70,66,80,62,77,72,27
Japan,Brazil,1,4,Away_win,44,5,72,66,74,63,73,72,27,11,20,76,70,80,65,79,79,28
Switzerland,Korea Republic,2,0,Home_win,7,10,72,66,80,65,78,74,26,56,9,72,67,78,62,77,73,26
Argentina,Mexico,2,1,Home_win,3,16,76,66,81,65,76,74,29,24,15,71,64,75,62,76,72,27
Portugal,Netherlands,1,0,Home_win,14,6,75,70,80,63,78,78,28,8,10,74,68,80,63,78,75,26
Italy,Australia,1,0,Home_win,9,18,76,68,81,66,77,75,27,57,4,71,64,78,62,76,71,26
Brazil,Ghana,3,0,Home_win,11,20,76,70,80,65,79,79,28,23,3,71,66,80,63,81,74,25
Spain,France,1,3,Away_win,1,14,81,71,79,67,78,82,28,21,14,76,69,80,68,81,76,26
Germany,Argentina,1,1,Draw,2,18,76,69,81,67,77,76,26,3,16,76,66,81,65,76,74,29
Brazil,France,0,1,Away_win,11,20,76,70,80,65,79,79,28,21,14,76,69,80,68,81,76,26
England,Portugal,0,0,Draw,10,14,75,68,81,64,79,76,26,14,6,75,70,80,63,78,78,28
Germany,Italy,0,2,Away_win,2,18,76,69,81,67,77,76,26,9,18,76,68,81,66,77,75,27
Portugal,France,0,1,Away_win,14,6,75,70,80,63,78,78,28,21,14,76,69,80,68,81,76,26
Germany,Portugal,3,1,Home_win,2,18,76,69,81,67,77,76,26,14,6,75,70,80,63,78,78,28
Italy,France,1,1,Draw,9,18,76,68,81,66,77,75,27,21,14,76,69,80,68,81,76,26
Bosnia-Herzegovina,France,1,2,Away_win,16,1,73,66,79,61,77,75,27,21,14,76,69,80,68,81,76,26
Chile,Colombia,1,2,Away_win,12,9,73,68,76,64,77,75,28,4,5,73,67,80,63,79,75,27
England,Greece,4,0,Home_win,10,14,75,68,81,64,79,76,26,18,3,73,66,79,62,76,74,28
Korea Republic,Iran,1,1,Draw,56,9,72,67,78,62,77,73,26,49,4,67,,75,58,72,67,28
Argentina,Brazil,0,3,Away_win,3,16,76,66,81,65,76,74,29,11,20,76,70,80,65,79,79,28
France,Italy,3,1,Home_win,21,14,76,69,80,68,81,76,26,9,18,76,68,81,66,77,75,27
Switzerland,Costa Rica,2,0,Home_win,7,10,72,66,80,65,78,74,26,13,4,66,60,76,57,74,67,27
Japan,Ghana,0,1,Away_win,44,5,72,66,74,63,73,72,27,23,3,71,66,80,63,81,74,25
Korea Republic,Ghana,1,3,Away_win,56,9,72,67,78,62,77,73,26,23,3,71,66,80,63,81,74,25
Bosnia-Herzegovina,Greece,0,4,Away_win,16,1,73,66,79,61,77,75,27,18,3,73,66,79,62,76,74,28
Spain,Argentina,2,1,Home_win,1,14,81,71,79,67,78,82,28,3,16,76,66,81,65,76,74,29
Australia,Ghana,1,1,Draw,57,4,71,64,78,62,76,71,26,23,3,71,66,80,63,81,74,25
France,Greece,1,0,Home_win,21,14,76,69,80,68,81,76,26,18,3,73,66,79,62,76,74,28
Iran,Korea Republic,2,0,Home_win,49,4,67,60,75,58,72,67,28,56,9,72,67,78,62,77,73,26
Netherlands,England,1,1,Draw,8,10,74,68,80,63,78,75,26,10,14,75,68,81,64,79,76,26
Switzerland,Brazil,1,2,Away_win,7,10,72,66,80,65,78,74,26,11,20,76,70,80,65,79,79,28
Greece,Korea Republic,0,1,Away_win,18,3,73,66,79,62,76,74,28,56,9,72,67,78,62,77,73,26
Nigeria,Ghana,1,4,Away_win,33,5,70,64,80,61,81,74,25,23,3,71,66,80,63,81,74,25
Portugal,Brazil,2,0,Home_win,14,6,75,70,80,63,78,78,28,11,20,76,70,80,65,79,79,28
Colombia,Uruguay,1,3,Away_win,4,5,73,67,80,63,79,75,27,6,12,72,66,80,65,77,74,28
England,Spain,0,1,Away_win,10,14,75,68,81,64,79,76,26,1,14,81,71,79,67,78,82,28
France,Argentina,0,1,Away_win,21,14,76,69,80,68,81,76,26,3,16,76,66,81,65,76,74,29
Germany,Switzerland,3,1,Home_win,2,18,76,69,81,67,77,76,26,7,10,72,66,80,65,78,74,26
Netherlands,Russia,4,1,Home_win,8,10,74,68,80,63,78,75,26,19,10,71,64,76,62,77,75,27
USA,Mexico,2,0,Home_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Costa Rica,Honduras,3,1,Home_win,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
Brazil,Chile,4,0,Home_win,11,20,76,70,80,65,79,79,28,12,9,,68,76,64,77,75,28
Korea Republic,Uruguay,0,2,Away_win,56,9,72,67,78,62,77,73,26,6,12,72,66,80,65,77,74,28
Portugal,Belgium,4,0,Home_win,14,6,75,70,80,63,78,78,28,5,12,76,68,82,65,78,77,25
Colombia,Switzerland,3,1,Home_win,4,5,73,67,80,63,79,75,27,7,10,72,66,80,65,78,74,26
Brazil,Ghana,1,0,Home_win,11,20,76,70,80,65,79,79,28,23,3,71,66,80,63,81,74,25
Chile,Costa Rica,1,1,Draw,12,9,73,68,76,64,77,75,28,13,4,66,60,76,57,74,67,27
Argentina,Chile,0,0,Draw,3,16,76,66,81,65,76,74,29,12,9,73,68,76,64,77,75,28
England,Brazil,1,1,Draw,10,14,75,68,81,64,79,76,26,11,20,76,70,80,65,79,79,28
Australia,Uruguay,1,2,Away_win,57,4,71,64,78,62,76,71,26,6,12,72,66,80,65,77,74,28
Belgium,Portugal,1,2,Away_win,5,12,76,68,82,65,78,77,25,14,6,75,70,80,63,78,78,28
Costa Rica,Chile,2,0,Home_win,13,4,66,60,76,57,74,67,27,12,9,73,68,76,64,77,75,28
Korea Republic,Netherlands,0,2,Away_win,56,9,72,67,78,62,77,73,26,8,10,74,68,80,63,78,75,26
Mexico,Iran,4,0,Home_win,24,15,71,64,75,62,76,72,27,49,4,67,60,75,58,72,67,28
Switzerland,Argentina,1,1,Draw,7,10,72,66,80,65,78,74,26,3,16,76,66,81,65,76,74,29
Algeria,Argentina,3,4,Away_win,,,,,,,,,,3,16,76,66,81,65,76,74,29
Japan,Colombia,0,0,Draw,44,5,72,66,74,63,73,72,27,4,5,73,67,80,63,79,75,27
Honduras,Mexico,2,1,Home_win,34,3,70,62,78,60,77,72,28,24,15,71,64,75,62,76,72,27
Mexico,Costa Rica,1,0,Home_win,24,15,71,64,75,62,76,72,27,13,4,66,60,76,57,74,67,27
USA,Mexico,2,1,Home_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Brazil,Mexico,0,2,Away_win,11,20,76,70,80,65,79,79,28,24,15,71,64,75,62,76,72,27
Ecuador,Chile,2,3,Away_win,22,4,75,55,77,55,81,72,27,12,9,73,68,76,64,77,75,28
Argentina,USA,4,1,Home_win,3,16,76,66,81,65,76,74,29,31,10,70,66,80,62,77,72,27
Brazil,Chile,3,0,Home_win,11,20,76,70,80,65,79,79,28,12,9,73,68,76,64,77,75,28
Argentina,Colombia,4,2,Home_win,3,16,76,66,81,65,76,74,29,4,5,73,67,80,63,79,75,27
Mexico,Chile,0,0,Draw,24,15,71,64,75,62,76,72,27,12,9,73,68,76,64,77,75,28
Colombia,USA,1,0,Home_win,4,5,73,67,80,63,79,75,27,31,10,70,66,80,62,77,72,27
Chile,Brazil,1,6,Away_win,12,9,73,68,76,64,77,75,28,11,20,76,70,80,65,79,79,28
Uruguay,Brazil,2,2,Draw,6,12,72,66,80,65,77,74,28,11,20,76,70,80,65,79,79,28
